Date,Adj Close,Close,High,Low,Open,Volume
2024-01-11,944.6099853515625,944.6099853515624,947.1699829101562,935.75,937.6099853515624,330900
2024-01-12,953.0599975585938,953.0599975585938,957.9000244140624,941.0599975585938,948.3800048828124,334300
2024-01-16,990.25,990.25,996.8300170898438,954.3300170898438,956.989990234375,581500
2024-01-17,992.1599731445312,992.1599731445312,1004.4500122070312,983.97998046875,991.1400146484376,511900
2024-01-18,1015.530029296875,1015.530029296875,1015.5999755859376,987.0800170898438,987.0800170898438,516800
2024-01-19,1028.0999755859375,1028.0999755859375,1037.239990234375,1014.8800048828124,1015.6199951171876,677000
2024-01-22,1035.93994140625,1035.93994140625,1039.1600341796875,1015.6900024414062,1028.6099853515625,362200
2024-01-23,1025.3199462890625,1025.3199462890625,1039.8299560546875,1011.4400024414062,1037.5,473600
2024-01-24,1018.4500122070312,1018.4500122070312,1025.510009765625,1010.030029296875,1025.510009765625,370800
2024-01-25,1024.0400390625,1024.0400390625,1024.3800048828125,1013.510009765625,1023.9199829101562,340200
2024-01-26,1022.510009765625,1022.510009765625,1028.9200439453125,1018.0599975585938,1026.3800048828125,268000
2024-01-29,1030.010009765625,1030.010009765625,1032.6400146484375,1017.2000122070312,1024.06005859375,255900
2024-01-30,1041.1199951171875,1041.1199951171875,1047.5699462890625,1027.1500244140625,1030.0,256800
2024-01-31,1023.0499877929688,1023.0499877929688,1045.8499755859375,1022.4400024414062,1036.8199462890625,330900
2024-02-01,1041.75,1041.75,1042.06005859375,1021.2899780273438,1031.1099853515625,278000
2024-02-02,1047.31005859375,1047.31005859375,1054.5699462890625,1034.9100341796875,1037.0,314700
2024-02-05,1055.6199951171875,1055.6199951171875,1057.219970703125,1040.6199951171875,1043.75,342600
2024-02-06,1051.8599853515625,1051.8599853515625,1056.3199462890625,1045.8699951171875,1054.6199951171875,292000
2024-02-07,1067.02001953125,1067.02001953125,1074.0400390625,1050.47998046875,1055.7099609375,605600
2024-02-08,1020.8300170898438,1020.8300170898438,1069.4200439453125,1009.2899780273438,1010.5,810200
2024-02-09,1025.8199462890625,1025.8199462890625,1041.3299560546875,1021.75,1025.8900146484375,553600
2024-02-12,1026.3900146484375,1026.3900146484375,1027.280029296875,1016.8599853515624,1025.699951171875,408100
2024-02-13,1039.260009765625,1039.260009765625,1041.719970703125,1025.0,1025.0,487500
2024-02-14,1049.300048828125,1049.300048828125,1050.5999755859375,1034.6300048828125,1035.0,515200
2024-02-15,1047.9000244140625,1047.9000244140625,1057.199951171875,1037.030029296875,1050.97998046875,406200
2024-02-16,1051.050048828125,1051.050048828125,1060.510009765625,1041.989990234375,1055.22998046875,443100
2024-02-20,1035.6300048828125,1035.6300048828125,1056.1400146484375,1032.760009765625,1050.72998046875,413700
2024-02-21,1039.77001953125,1039.77001953125,1047.5,1033.199951171875,1039.1199951171875,259900
2024-02-22,1054.81005859375,1054.81005859375,1058.9100341796875,1043.199951171875,1043.199951171875,305700
2024-02-23,1058.02001953125,1058.02001953125,1066.1199951171875,1053.739990234375,1053.9300537109375,223800
2024-02-26,1062.0699462890625,1062.0699462890625,1068.800048828125,1056.18994140625,1058.9000244140625,338600
2024-02-27,1081.75,1081.75,1083.5699462890625,1058.8399658203125,1069.199951171875,354800
2024-02-28,1092.9599609375,1092.9599609375,1093.989990234375,1074.8699951171875,1080.0,336700
2024-02-29,1087.4200439453125,1087.4200439453125,1098.949951171875,1078.1500244140625,1098.949951171875,422900
2024-03-01,1085.449951171875,1085.449951171875,1091.22998046875,1082.1300048828125,1085.7099609375,233500
2024-03-04,1077.97998046875,1077.97998046875,1090.7900390625,1072.8399658203125,1088.06005859375,321600
2024-03-05,1079.6700439453125,1079.6700439453125,1084.8599853515625,1077.4200439453125,1082.050048828125,296800
2024-03-06,1081.6500244140625,1081.6500244140625,1089.7099609375,1074.97998046875,1079.6700439453125,333900
2024-03-07,1089.4300537109375,1089.4300537109375,1096.6800537109375,1086.0,1090.449951171875,264300
2024-03-08,1084.199951171875,1084.199951171875,1095.0,1078.8800048828125,1083.93994140625,316700
2024-03-11,1086.1300048828125,1086.1300048828125,1089.489990234375,1071.5699462890625,1089.489990234375,229500
2024-03-12,1094.5999755859375,1094.5999755859375,1098.4599609375,1084.7900390625,1086.0,309300
2024-03-13,1101.4000244140625,1101.4000244140625,1105.4599609375,1088.5,1093.9200439453125,268100
2024-03-14,1116.9000244140625,1116.9000244140625,1118.0999755859375,1100.719970703125,1105.0,374400
2024-03-15,1113.1800537109375,1113.1800537109375,1121.989990234375,1110.4000244140625,1113.4100341796875,533700
2024-03-18,1113.8299560546875,1113.8299560546875,1125.3399658203125,1111.550048828125,1122.5699462890625,325400
2024-03-19,1134.6300048828125,1134.6300048828125,1136.27001953125,1121.5,1121.5799560546875,263900
2024-03-20,1145.2900390625,1145.2900390625,1145.72998046875,1136.1099853515625,1141.239990234375,297000
2024-03-21,1162.93994140625,1162.93994140625,1169.1099853515625,1144.1400146484375,1149.6099853515625,427700
2024-03-22,1167.530029296875,1167.530029296875,1168.5999755859375,1155.8800048828125,1162.93994140625,273600
2024-03-25,1137.0699462890625,1137.0699462890625,1165.1500244140625,1136.4300537109375,1164.739990234375,350200
2024-03-26,1134.780029296875,1134.780029296875,1140.6400146484375,1123.8599853515625,1131.47998046875,353000
2024-03-27,1135.52001953125,1135.52001953125,1144.06005859375,1123.47998046875,1143.800048828125,369100
2024-03-28,1128.8800048828125,1128.8800048828125,1142.719970703125,1125.6300048828125,1140.969970703125,293000
2024-04-01,1130.280029296875,1130.280029296875,1133.77001953125,1122.5,1128.219970703125,236800
2024-04-02,1140.2099609375,1140.2099609375,1142.0400390625,1131.4000244140625,1135.0899658203125,325600
2024-04-03,1132.949951171875,1132.949951171875,1149.22998046875,1132.2099609375,1139.969970703125,281800
2024-04-04,1099.6300048828125,1099.6300048828125,1134.02001953125,1098.739990234375,1133.75,307900
2024-04-05,1117.56005859375,1117.56005859375,1121.2099609375,1102.97998046875,1102.97998046875,280100
2024-04-08,1107.239990234375,1107.239990234375,1120.4100341796875,1105.9100341796875,1117.56005859375,246900
2024-04-09,1095.739990234375,1095.739990234375,1118.2099609375,1089.31005859375,1113.800048828125,290100
2024-04-10,1093.0999755859375,1093.0999755859375,1096.5400390625,1086.8299560546875,1090.969970703125,221300
2024-04-11,1083.0,1083.0,1094.8800048828125,1076.8299560546875,1094.8800048828125,299600
2024-04-12,1076.489990234375,1076.489990234375,1082.5,1072.1800537109375,1077.0,263200
2024-04-15,1069.27001953125,1069.27001953125,1094.3199462890625,1068.7099609375,1093.739990234375,324900
2024-04-16,1089.510009765625,1089.510009765625,1095.0,1073.260009765625,1073.31005859375,539400
2024-04-17,1094.800048828125,1094.800048828125,1103.300048828125,1091.1400146484375,1103.18994140625,328100
2024-04-18,1101.06005859375,1101.06005859375,1112.3699951171875,1095.0699462890625,1105.0799560546875,284300
2024-04-19,1090.93994140625,1090.93994140625,1105.0,1081.1400146484375,1103.4599609375,316400
2024-04-22,1091.4599609375,1091.4599609375,1102.780029296875,1081.0400390625,1099.6099853515625,343100
2024-04-23,1092.3499755859375,1092.3499755859375,1100.75,1086.43994140625,1100.75,331200
2024-04-24,1092.699951171875,1092.699951171875,1099.02001953125,1078.97998046875,1086.300048828125,461800
2024-04-25,1054.1300048828125,1054.1300048828125,1067.1500244140625,1005.780029296875,1020.0,917900
2024-04-26,1043.9300537109375,1043.9300537109375,1055.5899658203125,1040.81005859375,1045.989990234375,335700
2024-04-29,1037.0400390625,1037.0400390625,1041.1300048828125,1026.8199462890625,1040.22998046875,299100
